ID,방향,물량,주행회차_분,하역_분,합계_분,가용대비
S44,2신정차량기지신정네거리,6027,168.0,13.4,181.4,1.008
S47,2신정차량기지기점,13983,150.0,31.1,181.1,1.006
S22,2군자차량기지2호선신답,4249,171.0,9.4,180.4,1.002
S37,4창동차량기지쌍문,7334,164.0,16.3,180.3,1.002
S42,4창동차량기지쌍문,7347,164.0,16.3,180.3,1.002
S43,2군자차량기지2호선신답,4251,171.0,9.4,180.4,1.002
S44,2군자차량기지2호선신답,4181,171.0,9.3,180.3,1.002
S10,1이문차량사업소기점,13576,150.0,30.2,180.2,1.001
S19,2군자차량기지2호선신답,4093,171.0,9.1,180.1,1.001
S10,1구로차량사업소가산디지털단지,2774,174.0,6.2,180.2,1.001
S02,2신정차량기지도림천,980,178.0,2.2,180.2,1.001
S06,1구로차량사업소가산디지털단지,2774,174.0,6.2,180.2,1.001
SMAX,2신정차량기지도림천,1011,178.0,2.2,180.2,1.001
S38,4창동차량기지쌍문,7280,164.0,16.2,180.2,1.001
S16,2신정차량기지도림천,972,178.0,2.2,180.2,1.001
S28,1구로차량사업소가산디지털단지,15825,145.0,35.2,180.2,1.001
S10,2신정차량기지기점,13568,150.0,30.2,180.2,1.001
S40,4창동차량기지쌍문,7270,164.0,16.2,180.2,1.001
S46,2군자차량기지2호선기점,13556,150.0,30.1,180.1,1.001
S46,2신정차량기지기점,13586,150.0,30.2,180.2,1.001
SMAX,1구로차량사업소가산디지털단지,15869,145.0,35.3,180.3,1.001
SMAX,4창동차량기지쌍문,7276,164.0,16.2,180.2,1.001
SMAX,1이문차량사업소석계,17647,141.0,39.2,180.2,1.001
S10,2군자차량기지2호선신답,4090,171.0,9.1,180.1,1.0
S46,4창동차량기지쌍문,7225,164.0,16.1,180.1,1.0
S45,4창동차량기지쌍문,7215,164.0,16.0,180.0,1.0
S47,2군자차량기지2호선신답,4056,171.0,9.0,180.0,1.0
S47,1이문차량사업소석계,17562,141.0,39.0,180.0,1.0
